YEAR,ELECTRICITY,NG,OTHER
2019,7.22222,50,0
2020,7.77777,50,0
2021,8.33333,50,0
2022,8.33333,50,0
2023,8.33333,50,0
2024,8.33333,50,0
2025,8.33333,50,0
2026,8.33333,50,0
2027,8.33333,50,0
2028,8.33333,50,0
2029,8.33333,50,0
2030,8.33333,50,0
2031,8.33333,50,0
2032,8.33333,50,0
2033,8.33333,50,0
2034,8.33333,50,0
2035,8.33333,50,0
2036,8.33333,50,0
2037,8.33333,50,0
2038,8.33333,50,0
2039,8.33333,50,0
2040,8.33333,50,0
2041,8.33333,50,0
2042,8.33333,50,0
2043,8.33333,50,0
2044,8.33333,50,0
2045,8.33333,50,0
2046,8.33333,50,0
2047,8.33333,50,0
2048,8.33333,50,0
2049,8.33333,50,0
2050,8.33333,50,0
2051,8.33333,50,0
2052,8.33333,50,0
2053,8.33333,50,0
2054,8.33333,50,0
2055,8.33333,50,0
2056,8.33333,50,0
2057,8.33333,50,0
2058,8.33333,50,0
2059,8.33333,50,0
2060,8.33333,50,0
2061,8.33333,50,0
2062,8.33333,50,0
2063,8.33333,50,0
2064,8.33333,50,0
2065,8.33333,50,0
2066,8.33333,50,0
2067,8.33333,50,0
2068,8.33333,50,0
2069,8.33333,50,0
2070,8.33333,50,0
2071,8.33333,50,0
2072,8.33333,50,0
2073,8.33333,50,0
2074,8.33333,50,0
2075,8.33333,50,0
2076,8.33333,50,0
2077,8.33333,50,0
2078,8.33333,50,0
2079,8.33333,50,0
2080,8.33333,50,0
2081,8.33333,50,0
2082,8.33333,50,0
2083,8.33333,50,0
2084,8.33333,50,0
2085,8.33333,50,0
2086,8.33333,50,0
2087,8.33333,50,0
2088,8.33333,50,0
2089,8.33333,50,0
2090,8.33333,50,0
2091,8.33333,50,0
2092,8.33333,50,0
2093,8.33333,50,0
2094,8.33333,50,0
2095,8.33333,50,0
2096,8.33333,50,0
2097,8.33333,50,0
2098,8.33333,50,0
2099,8.33333,50,0
2100,8.33333,50,0
